image_name,STAT_e,STAT_n_D,STAT_n_A,STAT_CC_D,STAT_CC_A,ABS_wf_D,ABS_f_D,DISS_wf10_D,DISS_f10_D,CT_f_e_conn,CT_f_conn_D_An,CT_f_conn_A_Ca,CT_e_conn,CT_e_D_An,CT_e_A_Ca,CT_f_D_tort1,CT_f_A_tort1,FF(P3HT:PCBM)
data_chi_2.850_phi_0.598_Results/44.txt,899385,3177140,5343180,1,1,0.249421,0.37289,0.739746,0.99999,1,1,1,899385,861594,930154,0.232578,0.343138,0.498030755614559
data_chi_2.460_phi_0.514_Results/34.txt,1051580,3637770,4882550,2,2,0.283275,0.426952,0.753569,0.999917,0.997883,0.998427,0.999998,1049360,1022450,1066200,0.226225,0.268246,0.509190243902439
data_chi_2.200_phi_0.500_Results/3.txt,1077700,5109870,3410460,1,2,0.390465,0.599727,0.702333,0.999784,0.99992,1,0.999991,1077610,1105520,1034230,0.258155,0.220921,0.504347426470588
data_chi_2.720_phi_0.640_Results/216.txt,457661,2745160,5775170,3,1,0.215938,0.322189,0.574101,0.939228,0.966473,0.975451,1,442317,430516,469770,0.292742,0.570208,0.473986342296202
data_chi_2.460_phi_0.584_Results/204.txt,536827,3176010,5344310,1,1,0.249033,0.372757,0.586586,0.959391,1,1,1,536827,524470,547731,0.348167,0.42633,0.495886190648786
data_chi_2.850_phi_0.640_Results/22.txt,1000380,2480460,6039870,36,1,0.197955,0.291122,0.80217,1,0.887441,0.903524,1,887777,808251,1087270,0.243223,0.336614,0.487079701120797
data_chi_2.720_phi_0.514_Results/16.txt,1305730,3981700,4538620,1,1,0.308396,0.467318,0.786512,1,1,1,1,1305730,1276620,1310380,0.199557,0.216426,0.514848229342327
data_chi_2.330_phi_0.528_Results/70.txt,855169,3709260,4811060,1,1,0.28908,0.435342,0.695687,0.999881,1,1,1,855169,838361,864343,0.248814,0.315666,0.509010963910461
data_chi_2.460_phi_0.640_Results/80.txt,631607,2174730,6345590,58,1,0.175626,0.255241,0.729691,0.999836,0.470753,0.538174,1,297331,282157,673804,0.482664,0.477029,0.434296028880866
data_chi_2.200_phi_0.570_Results/203.txt,545189,2333690,6186630,4,1,0.187308,0.273897,0.678054,0.994931,0.86649,0.888928,1,472401,451322,569539,0.295719,0.476317,0.479070223617105
data_chi_2.720_phi_0.584_Results/90.txt,664715,3331710,5188610,1,1,0.26013,0.391031,0.647119,0.995867,1,1,1,664715,649579,676375,0.259127,0.395892,0.498050099629946
data_chi_2.200_phi_0.584_Results/241.txt,455187,1902020,6618310,25,1,0.15562,0.223233,0.683278,0.993134,0.443996,0.524664,1,202101,195465,479296,0.565756,0.557247,0.431056213763549
data_chi_2.590_phi_0.626_Results/170.txt,518685,2771240,5749080,3,1,0.218379,0.325251,0.610717,0.964395,0.980416,0.987073,1,508527,492040,535107,0.308032,0.444092,0.488888888888889
data_chi_2.460_phi_0.640_Results/255.txt,455709,2480220,6040100,7,1,0.198025,0.291094,0.602572,0.954555,0.826271,0.851649,1,376539,364836,470894,0.348578,0.57795,0.456652360515021
data_chi_2.330_phi_0.528_Results/311.txt,511951,3845040,4675280,1,1,0.298244,0.451279,0.518605,0.906752,1,1,1,511951,508135,514201,0.383257,0.468048,0.506768249468462
data_chi_2.460_phi_0.640_Results/99.txt,607685,2271970,6248350,34,1,0.182759,0.266653,0.711553,0.99954,0.593309,0.650703,1,360545,343351,642515,0.4109,0.468741,0.432571732199787
data_chi_2.720_phi_0.598_Results/416.txt,405837,3268960,5251360,1,1,0.255019,0.383667,0.482964,0.842086,1,1,1,405837,401293,409618,0.35929,0.540424,0.482373351839001
data_chi_2.460_phi_0.528_Results/133.txt,664153,3925790,4594530,1,1,0.305431,0.460756,0.608169,0.988052,1,1,1,664153,659017,665288,0.325243,0.360652,0.509384164222874
data_chi_2.590_phi_0.640_Results/68.txt,694819,2444770,6075550,27,1,0.194722,0.286934,0.727864,0.999991,0.7927,0.82427,1,550783,520002,736047,0.305904,0.409138,0.469260048721072
data_chi_2.850_phi_0.556_Results/12.txt,1315350,3216130,5304190,1,1,0.25227,0.377466,0.817812,1,1,1,1,1315350,1232060,1373780,0.194546,0.237691,0.51261353898886
data_chi_2.200_phi_0.584_Results/314.txt,490399,2437460,6082870,5,1,0.194355,0.286076,0.632813,0.974664,0.728588,0.766799,1,357299,345284,508899,0.377201,0.483267,0.469982238010657
data_chi_2.200_phi_0.598_Results/353.txt,438643,2107320,6413000,19,1,0.170749,0.247329,0.641095,0.974157,0.576047,0.626695,1,252679,244243,457592,0.477363,0.565943,0.449360146252285
data_chi_2.200_phi_0.500_Results/22.txt,794819,5085230,3435090,1,1,0.389277,0.596835,0.612001,0.992857,1,1,1,794819,809386,773414,0.308889,0.268705,0.500046333835283
data_chi_2.850_phi_0.640_Results/85.txt,610407,2789690,5730630,3,1,0.219756,0.327416,0.664216,0.996633,0.984941,0.989633,1,601215,578888,631696,0.281092,0.490606,0.496654929577465
data_chi_2.330_phi_0.500_Results/29.txt,938157,4417580,4102740,1,2,0.341318,0.518476,0.687451,0.999672,0.998425,1,0.999564,936679,939260,926254,0.258981,0.271606,0.506590346534654
data_chi_2.720_phi_0.542_Results/90.txt,689849,3813720,4706600,1,2,0.296341,0.447603,0.625599,0.994235,0.999971,1,0.999999,689829,681698,694043,0.279095,0.344916,0.505082454717491
data_chi_2.200_phi_0.500_Results/308.txt,578667,4316610,4203710,1,1,0.335008,0.506625,0.537091,0.940555,1,1,1,578667,578878,575680,0.393731,0.390618,0.504026423403586
data_chi_2.850_phi_0.500_Results/30.txt,1115020,4275840,4244480,1,1,0.330228,0.50184,0.740617,0.999837,1,1,1,1115020,1108940,1105850,0.23084,0.245778,0.509627949183303
data_chi_2.590_phi_0.598_Results/245.txt,469743,3139900,5380420,2,1,0.24608,0.36852,0.545089,0.920818,0.999706,0.999974,1,469605,460759,477758,0.347185,0.518987,0.490791823774558
data_chi_2.330_phi_0.598_Results/143.txt,609145,2622710,5897610,6,1,0.20895,0.307818,0.678759,0.998496,0.913045,0.924841,1,556177,532689,633698,0.283727,0.429717,0.465170435369558
data_chi_2.460_phi_0.514_Results/394.txt,461573,4125700,4394620,1,1,0.320246,0.484219,0.465679,0.846891,1,1,1,461573,461423,460279,0.360339,0.45521,0.491149758454106
data_chi_2.720_phi_0.626_Results/411.txt,377141,2949710,5570610,3,1,0.232565,0.346197,0.483957,0.835655,0.984929,0.994904,1,371457,365355,383415,0.351134,0.658724,0.492246913580247
data_chi_2.590_phi_0.626_Results/42.txt,807707,2215250,6305070,50,1,0.178357,0.259997,0.780802,1,0.778893,0.811174,1,629117,577754,874996,0.302293,0.404214,0.480912596401028
data_chi_2.980_phi_0.500_Results/9.txt,1497050,4270900,4249420,1,1,0.329646,0.50126,0.80651,1,1,1,1,1497050,1480150,1476320,0.187201,0.196576,0.523163580246914
data_chi_2.460_phi_0.640_Results/149.txt,545099,2370730,6149590,16,1,0.189805,0.278244,0.672078,0.994999,0.701511,0.738747,1,382393,366732,570013,0.365267,0.494566,0.434213061067232
data_chi_2.590_phi_0.500_Results/3.txt,1316760,4659450,3860870,1,5,0.358175,0.546863,0.766251,0.999996,0.999676,1,0.999951,1316330,1328310,1277660,0.21811,0.20279,0.514398340248963
data_chi_2.460_phi_0.500_Results/4.txt,1183800,4767170,3753150,1,2,0.365851,0.559506,0.737389,0.999915,0.999971,1,0.999997,1183770,1200390,1147440,0.233109,0.212483,0.509536307961505
data_chi_2.590_phi_0.500_Results/329.txt,484725,4297140,4223180,1,1,0.333575,0.50434,0.466196,0.843627,1,1,1,484725,484746,483086,0.429054,0.502908,0.506543593492963
data_chi_2.590_phi_0.626_Results/416.txt,403301,2802760,5717560,2,1,0.220821,0.328951,0.521651,0.875368,0.976529,0.983131,1,393835,384888,412401,0.378759,0.554482,0.459964726631393
data_chi_2.590_phi_0.640_Results/54.txt,745565,2356520,6163800,51,1,0.188489,0.276576,0.750436,1,0.57167,0.62404,1,426217,399791,798314,0.392379,0.41098,0.462798538915426
data_chi_2.590_phi_0.500_Results/2.txt,1414120,4701190,3819130,1,2,0.36109,0.551762,0.780581,1,0.999844,1,0.999963,1413900,1428520,1364000,0.208695,0.194729,0.517209677419355
data_chi_2.460_phi_0.626_Results/112.txt,607491,2496160,6024160,10,1,0.198499,0.292965,0.690009,0.999382,0.753991,0.780236,1,458043,437484,635812,0.337079,0.435055,0.463158804216347
data_chi_2.850_phi_0.598_Results/106.txt,608069,3297550,5222770,1,1,0.259173,0.387021,0.623469,0.989041,1,1,1,608069,595572,617715,0.308715,0.458584,0.506155524388343
data_chi_2.590_phi_0.626_Results/68.txt,718725,2633330,5886990,14,1,0.208895,0.309064,0.720467,0.999987,0.935842,0.950748,1,672613,637202,756098,0.266909,0.385549,0.485608480975893
data_chi_2.590_phi_0.612_Results/41.txt,887667,2536180,5984140,15,1,0.201975,0.297663,0.775758,0.999994,0.953958,0.9615,1,846797,784359,949052,0.243185,0.360051,0.492034271158967
data_chi_2.200_phi_0.500_Results/151.txt,720043,4310650,4209670,1,1,0.333873,0.505926,0.614264,0.992584,1,1,1,720043,719869,715329,0.301561,0.312665,0.506731266149871
data_chi_2.850_phi_0.556_Results/31.txt,1078260,3619510,4900810,1,1,0.281896,0.424809,0.759893,0.999944,1,1,1,1078260,1044540,1098890,0.214121,0.276502,0.507201138519924
data_chi_2.850_phi_0.500_Results/48.txt,911585,4274650,4245670,1,1,0.330292,0.5017,0.685229,0.998823,1,1,1,911585,908121,906214,0.266366,0.276799,0.504842741095605
data_chi_2.330_phi_0.570_Results/70.txt,705049,2336440,6183880,6,1,0.188051,0.27422,0.745378,1,0.976143,0.979726,1,688229,645923,744661,0.255865,0.439906,0.483598513011152
data_chi_2.330_phi_0.500_Results/10.txt,981805,4805380,3714940,1,2,0.368712,0.563991,0.687091,0.999668,0.999601,1,0.999944,981413,996555,956188,0.260481,0.240778,0.50369714847591
data_chi_2.720_phi_0.500_Results/11.txt,1332440,4294230,4226090,1,2,0.331366,0.503999,0.780677,1,0.999974,1,0.999998,1332410,1322350,1316740,0.203012,0.208999,0.516155758077879
data_chi_2.850_phi_0.570_Results/285.txt,465477,3556230,4964090,1,1,0.276605,0.417383,0.504152,0.878025,1,1,1,465477,461177,468341,0.327463,0.528193,0.501597633136095
data_chi_2.850_phi_0.626_Results/251.txt,423619,3004010,5516310,3,1,0.236615,0.35257,0.519164,0.882569,0.976257,0.988546,1,413561,405847,431466,0.423566,0.67363,0.502760736196319
data_chi_2.590_phi_0.570_Results/41.txt,989611,3235920,5284400,2,1,0.25359,0.379788,0.757066,0.999976,0.997779,0.998339,1,987413,941284,1026950,0.228337,0.29964,0.50213180280824
data_chi_2.850_phi_0.626_Results/53.txt,774949,2888970,5631350,1,1,0.22784,0.339068,0.720244,0.999991,1,1,1,774949,738323,807696,0.250321,0.408839,0.486113581501715
data_chi_2.850_phi_0.626_Results/141.txt,500585,2973650,5546670,3,1,0.233812,0.349007,0.581988,0.954369,0.974538,0.983946,1,487839,475713,512441,0.368822,0.580718,0.49086809470124
data_chi_2.200_phi_0.528_Results/339.txt,563363,3722840,4797480,1,1,0.290941,0.436937,0.562434,0.949637,1,1,1,563363,557193,567031,0.366232,0.411144,0.506155632984901
data_chi_2.720_phi_0.640_Results/35.txt,886295,2415380,6104940,26,1,0.192943,0.283485,0.783026,1,0.907566,0.921097,1,804371,737621,958040,0.250306,0.373117,0.479736811459182
data_chi_2.720_phi_0.612_Results/77.txt,682121,2993110,5527210,1,1,0.235067,0.351291,0.679335,0.999141,1,1,1,682121,657586,703811,0.25073,0.422273,0.490151624548737
data_chi_2.720_phi_0.556_Results/97.txt,661193,3660020,4860300,1,1,0.284809,0.429564,0.622497,0.991757,1,1,1,661193,651800,667115,0.269783,0.368077,0.49913475177305
data_chi_2.590_phi_0.640_Results/212.txt,468419,2602310,5918010,1,1,0.204734,0.305424,0.597718,0.953427,1,1,1,468419,453607,482576,0.322112,0.507441,0.489001097694841
data_chi_2.590_phi_0.500_Results/18.txt,1214720,4303290,4217030,1,2,0.332015,0.505062,0.759049,0.999985,0.999789,1,0.999968,1214470,1208540,1200810,0.215321,0.219211,0.512927888792354
data_chi_2.850_phi_0.640_Results/26.txt,971959,2546650,5973670,22,1,0.202757,0.298892,0.792717,1,0.92733,0.938506,1,901327,826183,1049240,0.235311,0.343768,0.485791942016628
data_chi_2.460_phi_0.500_Results/75.txt,821095,4302340,4217980,1,2,0.333289,0.504951,0.655789,0.998538,0.999671,1,0.999972,820825,820173,815345,0.28996,0.309721,0.505113636363636
data_chi_2.720_phi_0.640_Results/154.txt,513037,2721420,5798900,4,1,0.213939,0.319404,0.614791,0.972132,0.956982,0.9669,1,490967,475540,528868,0.266463,0.514317,0.467537313432836
data_chi_2.850_phi_0.570_Results/58.txt,785563,3543090,4977240,1,1,0.276902,0.415839,0.681921,0.999268,1,1,1,785563,768202,797619,0.267352,0.359049,0.501256710590532
data_chi_2.460_phi_0.640_Results/145.txt,549665,2363190,6157130,18,1,0.189225,0.277359,0.675112,0.995705,0.586046,0.637621,1,322129,309744,575371,0.423422,0.492507,0.4328418230563
data_chi_2.200_phi_0.514_Results/284.txt,598707,4016220,4504100,1,1,0.312565,0.47137,0.565695,0.960606,1,1,1,598707,595121,599046,0.363679,0.376692,0.505392840539284
data_chi_2.720_phi_0.542_Results/138.txt,596367,3825320,4695000,1,1,0.297146,0.448964,0.576556,0.966938,1,1,1,596367,591250,598838,0.29031,0.397978,0.500634282178218
data_chi_2.850_phi_0.612_Results/352.txt,399067,3199090,5321230,1,1,0.251865,0.375466,0.483212,0.841294,1,1,1,399067,394512,402777,0.392824,0.638489,0.501931818181818
data_chi_2.200_phi_0.598_Results/334.txt,420713,1932430,6587890,21,1,0.157909,0.226803,0.65552,0.980429,0.510674,0.571019,1,214847,207656,440297,0.537801,0.586618,0.440033500837521
data_chi_2.850_phi_0.640_Results/416.txt,372481,2929270,5591050,2,1,0.231383,0.343798,0.481782,0.828547,0.907877,0.91262,1,338167,333060,378296,0.42622,0.697493,0.489682939104177
data_chi_2.850_phi_0.598_Results/18.txt,1159740,2979830,5540490,2,1,0.23486,0.349732,0.803232,1,0.998938,0.999317,1,1158500,1074970,1228590,0.204263,0.276914,0.503471454880295
data_chi_2.720_phi_0.528_Results/50.txt,916229,3947020,4573300,1,1,0.306266,0.463247,0.702779,0.999659,1,1,1,916229,903576,920379,0.259828,0.291647,0.504753891459823
data_chi_2.590_phi_0.598_Results/36.txt,942249,2662860,5857460,7,1,0.211298,0.312531,0.780175,0.999989,0.986326,0.989076,1,929365,862759,1003170,0.229397,0.337298,0.494695309074967
data_chi_2.590_phi_0.626_Results/100.txt,624875,2717830,5802490,3,1,0.214848,0.318982,0.675956,0.997651,0.980246,0.984904,1,612531,586879,649491,0.276362,0.386966,0.495133333333333
